Date,MinTemp,MaxTemp,Sunshine,WindDir,Humidity,RainToday,RainTomorrow
9/27/2021,8,24.3,6.3,NW,68,No,Yes
9/28/2021,14,26.9,9.7,ENE,80,Yes,Yes
9/29/2021,13.7,23.4,3.3,NW,82,Yes,Yes
9/30/2021,13.3,15.5,9.1,NW,62,Yes,Yes
10/1/2021,7.6,16.1,10.6,SSE,68,Yes,No
10/2/2021,6.2,16.9,8.2,SE,70,No,No
10/3/2021,6.1,18.2,8.4,SE,63,No,No
10/4/2021,8.3,17,4.6,E,65,No,No
10/5/2021,8.8,19.5,4.1,S,70,No,Yes
10/6/2021,8.4,22.8,7.7,E,82,Yes,No
10/7/2021,9.1,25.2,11.9,N,74,No,No
10/8/2021,8.5,27.3,12.5,E,54,No,No
10/9/2021,10.1,27.9,13,WNW,62,No,No
10/10/2021,12.1,30.9,12.4,NW,67,No,No
10/11/2021,10.1,31.2,13.1,NW,45,No,No
10/12/2021,12.4,32.1,11.1,E,70,No,No
10/13/2021,13.8,31.2,8.4,ESE,72,No,Yes
10/14/2021,11.7,30,10.1,S,59,Yes,No
10/15/2021,12.4,32.3,13,E,60,No,No
10/16/2021,15.6,33.4,10.4,NE,61,No,No
10/17/2021,15.3,33.4,9.5,WNW,60,No,No
10/18/2021,16.4,19.4,0,E,88,No,Yes
10/19/2021,12.8,18.5,0.6,ESE,91,Yes,No
10/20/2021,12,24.3,7.5,NNE,74,No,No
10/21/2021,15.4,28.4,8.1,ENE,85,No,No
10/22/2021,15.6,26.9,8.9,E,65,No,No
10/23/2021,13.3,22.2,2.3,ENE,70,No,No
10/24/2021,12.9,28,10.7,S,61,No,No
10/25/2021,15.1,24.3,0.4,SE,69,No,No
10/26/2021,13.6,24.1,0.5,NNW,83,No,Yes
10/27/2021,15.1,20.4,0.2,SSE,82,Yes,Yes
10/28/2021,11.6,26.3,12,NNE,66,Yes,No
10/29/2021,16.6,24.2,4.7,NW,72,No,Yes
10/30/2021,13.3,26.5,11.8,NW,74,Yes,No
10/31/2021,14.5,21.8,9.8,ENE,69,No,No
11/1/2021,16.3,26.8,6.3,ENE,78,No,No
11/2/2021,17.2,25.8,8.8,SW,70,No,Yes
11/3/2021,16.5,28.2,8.8,NE,76,Yes,No
11/4/2021,15,29.4,11.1,NW,78,No,No
11/5/2021,14.9,24.8,10,NNW,58,No,No
11/6/2021,11.8,18.5,2.3,ENE,60,No,No
11/7/2021,11.7,21.5,7.3,ENE,66,No,No
11/8/2021,9.6,20.3,3.6,SE,70,No,No
11/9/2021,8.9,27.1,12.7,E,63,No,No
11/10/2021,10.1,29.9,8.8,E,63,No,Yes
11/11/2021,15.5,21.1,0.9,S,93,Yes,Yes
11/12/2021,10.8,21.7,10.6,ESE,59,Yes,No
11/13/2021,7.5,20.9,8.7,ENE,61,No,No
11/14/2021,12.8,21,0.8,NE,72,No,Yes
11/15/2021,12.6,23.1,2.3,NNW,97,Yes,Yes
11/16/2021,14.8,29.5,8.1,N,81,Yes,Yes
11/17/2021,19.9,22,5.9,NNW,92,Yes,Yes
11/18/2021,9.2,20.4,10.2,ENE,59,Yes,No
11/19/2021,12.4,24.4,12.1,NW,69,No,Yes
11/20/2021,11.3,21.7,5.6,E,67,Yes,No
11/21/2021,9.8,26.3,13,NNW,63,No,No
11/22/2021,14.3,26.7,7.1,NNW,68,No,Yes
11/23/2021,15.1,28.3,13.2,NNW,73,Yes,No
11/24/2021,14.4,31.6,13.6,NNW,65,No,No
11/25/2021,15.4,35,13,E,55,No,No
11/26/2021,13.8,33.5,13.6,NE,44,No,No
11/27/2021,13.6,34.2,12.8,NNE,50,No,No
11/28/2021,14.3,35,10.5,ESE,43,No,No
11/29/2021,15.9,23.4,2.2,ESE,69,No,No
11/30/2021,16.7,25.3,12.5,ESE,56,No,No
12/1/2021,12.1,27.5,11.7,NE,69,No,No
12/2/2021,14.3,34.1,10.5,ENE,77,No,No
12/3/2021,16.5,33.9,12.6,ENE,60,No,No
12/4/2021,16.5,30.3,8.1,E,77,No,No
12/5/2021,17.5,29.9,8.8,E,74,No,No
12/6/2021,14.7,34.2,12.8,NE,64,No,No
12/7/2021,17.5,35.8,13.3,SSE,56,No,No
12/8/2021,20.9,35.7,6.9,SW,61,No,Yes
12/9/2021,17,33.8,13.5,WNW,65,Yes,No
12/10/2021,16,22.8,6,E,70,No,No
12/11/2021,15.4,33.8,11.1,W,70,No,No
12/12/2021,17.9,33.2,8.4,N,58,No,Yes
12/13/2021,15.2,25.1,11.6,E,62,Yes,No
12/14/2021,15.1,20.4,0.1,ESE,63,No,Yes
12/15/2021,15.3,19.6,0,NE,92,Yes,Yes
12/16/2021,17.2,24.7,8.1,NW,80,Yes,No
12/17/2021,15.9,19.9,1.6,E,73,No,No
12/18/2021,10,22.5,11.6,E,55,No,No
12/19/2021,9.9,24.4,10.8,NE,60,No,No
12/20/2021,10.3,27.8,9.9,ENE,64,No,No
12/21/2021,15.4,25.7,8.2,E,67,No,No
12/22/2021,12.7,28.8,9,NNE,70,No,No
12/23/2021,13.2,31.3,11.6,WSW,71,No,No
12/24/2021,15.3,33.2,13.2,NNW,60,No,No
12/25/2021,17.9,33.9,11.8,ENE,72,No,No
12/26/2021,18,34.9,9.9,NW,68,No,Yes
12/27/2021,17.6,27.8,3.6,ESE,66,Yes,Yes
12/28/2021,16,23.8,6.2,SSE,73,Yes,No
12/29/2021,14.9,28.8,8.1,NNE,71,No,No
12/30/2021,17.1,29.6,9.2,E,67,No,Yes
12/31/2021,18.2,22.6,0,ENE,92,Yes,Yes
1/1/2022,16.8,22.8,0.3,ESE,88,Yes,No
1/2/2022,13.6,27.4,8,W,77,No,No
1/3/2022,14.5,24.2,5.9,SSW,76,No,Yes
1/4/2022,12.4,19.9,5.6,ENE,75,Yes,No
1/5/2022,10.4,20.9,8.9,SSE,65,No,No
1/6/2022,9.1,23.1,9.6,ENE,66,No,No
1/7/2022,8.9,26,10.7,NE,74,No,Yes
1/8/2022,14.5,24.2,5.9,W,95,Yes,Yes
1/9/2022,12.6,18.2,0.4,ENE,81,Yes,No
1/10/2022,8.6,24.2,12.7,E,63,No,No
1/11/2022,10.8,25.2,12.6,ENE,69,No,No
1/12/2022,11.2,26.1,12.6,ENE,71,No,No
1/13/2022,12.1,24.1,10.2,ENE,64,No,No
1/14/2022,10.8,25.8,11.7,E,72,No,No
1/15/2022,11.4,27.1,12.1,NE,69,No,No
1/16/2022,12,28.9,8.2,ESE,78,No,Yes
1/17/2022,16.3,24.8,3.8,S,88,Yes,Yes
1/18/2022,12.7,28.6,8.6,W,78,Yes,No
1/19/2022,12.7,25.1,12.4,NW,57,No,No
1/20/2022,12,23.8,12.4,NW,54,No,No
1/21/2022,11.5,25.9,10.2,ENE,70,No,No
1/22/2022,13,28.2,11.6,NW,74,No,No
1/23/2022,11.7,27.6,8.1,W,74,No,No
1/24/2022,14.8,17.3,0.8,SSE,74,No,Yes
1/25/2022,7.7,18.4,12,S,58,Yes,No
1/26/2022,4.4,21.8,12.1,S,60,No,No
1/27/2022,7.4,24.4,11.6,E,65,No,No
1/28/2022,8.3,27.3,10.1,E,78,No,No
1/29/2022,10.1,28.2,7.3,ESE,72,No,No
1/30/2022,12,27.6,11,E,69,No,No
1/31/2022,12.9,31.8,11.3,WSW,76,No,No
2/1/2022,10.8,29.2,7.5,E,56,No,Yes
2/2/2022,9.5,27.4,11.5,NNW,79,Yes,No
2/3/2022,12.1,27.8,11.5,E,66,No,No
2/4/2022,12.5,31.7,11.2,WNW,74,No,No
2/5/2022,13.9,34.7,8.5,SSW,50,No,No
2/6/2022,13.3,31.7,11,WNW,80,No,No
2/7/2022,13.2,33.1,9.7,ENE,91,No,No
2/8/2022,12.3,33.8,11.3,W,57,No,No
2/9/2022,13.8,35.2,11.2,SE,47,No,No
2/10/2022,11.3,32.3,11.4,NE,44,No,No
2/11/2022,11.7,30.2,11.2,NE,73,No,No
2/12/2022,12.5,29.9,10.7,NW,76,No,No
2/13/2022,15.1,26.2,9.8,NE,59,No,No
2/14/2022,11.5,29.3,8,NW,76,No,No
2/15/2022,13,14.8,0,SE,77,No,No
2/16/2022,11.6,19.6,1.6,E,71,No,No
2/17/2022,12.8,24.9,6.2,ENE,76,No,No
2/18/2022,15.5,22.4,1.9,NW,89,No,Yes
2/19/2022,13.1,17.4,0,NNW,94,Yes,Yes
2/20/2022,12.6,20.2,9.1,W,76,Yes,No
2/21/2022,4.4,18.3,9.6,N,80,No,No
2/22/2022,4.4,18.2,11,W,78,No,No
2/23/2022,7.1,18.5,10,NW,90,No,No
2/24/2022,4.2,18.9,10.8,WNW,60,No,No
2/25/2022,9.6,18.8,10,WNW,54,No,No
2/26/2022,3.5,21.8,10.3,NNW,72,No,No
2/27/2022,5.3,23.3,5.6,NNW,90,No,Yes
2/28/2022,7,14.3,9.7,WNW,68,Yes,No
3/1/2022,0.4,18.9,9.6,N,77,No,No
3/2/2022,3.2,21.4,10.6,E,76,No,No
3/3/2022,5.9,21.8,9.3,E,70,No,No
3/4/2022,8.1,20.5,7.8,ENE,66,No,No
3/5/2022,6.9,18.9,4.1,ESE,68,No,No
3/6/2022,5.6,19.5,6.8,SW,69,No,No
3/7/2022,7.2,22.9,9.5,E,82,No,No
3/8/2022,7.1,23.4,10.2,ESE,72,No,No
3/9/2022,6.1,24.1,6.1,WNW,75,No,Yes
3/10/2022,7.1,19.8,7.7,W,96,Yes,Yes
3/11/2022,5.6,18,9.3,S,70,Yes,No
3/12/2022,5.4,20.7,10.8,SSE,66,No,No
3/13/2022,6.3,19.3,10.6,S,65,No,No
3/14/2022,5.3,21,6.3,WNW,77,No,No
3/15/2022,7.9,19.7,8.3,ESE,58,No,No
3/16/2022,8.4,16.1,4.9,SE,69,No,No
3/17/2022,8.1,18.7,7.1,ESE,66,No,No
3/18/2022,2.4,20.6,10.1,E,77,No,No
3/19/2022,5.6,18.9,8,SE,79,No,No
3/20/2022,7.5,19,6.8,ENE,74,No,No
3/21/2022,2.5,21.2,7.9,NE,82,No,No
3/22/2022,5,20.9,8.9,WNW,84,No,No
3/23/2022,3.8,21.7,6.5,NW,99,No,No
3/24/2022,7.9,18.7,5.8,NW,68,No,Yes
3/25/2022,4.3,11.3,5.6,W,75,Yes,No
3/26/2022,-2.1,13.8,9.5,NNW,69,No,No
3/27/2022,-1.8,14.8,7,N,80,No,No
3/28/2022,3.8,13.8,0.8,WNW,67,No,No
3/29/2022,2.1,17.3,9.2,W,81,No,No
3/30/2022,0.5,17.1,9.4,NW,74,No,No
3/31/2022,-0.9,16.7,9.3,NNW,76,No,No
4/1/2022,0.4,19,8.3,NW,76,No,No
4/2/2022,7.5,16.8,3,NW,70,No,No
4/3/2022,8.3,17.6,9.4,WNW,73,No,No
4/4/2022,-0.2,18.1,9.4,NW,80,No,No
4/5/2022,0.1,21,9.2,NNW,78,No,No
4/6/2022,1.5,20.9,9.3,NW,80,No,No
4/7/2022,8.3,17.4,1.6,E,80,No,No
4/8/2022,9.4,19.2,7.7,NA,73,No,No
4/9/2022,1.3,19,9.4,NNW,87,No,No
4/10/2022,2.2,18.6,9.2,NNW,84,No,No
4/11/2022,-0.4,17.9,8.7,NW,80,No,Yes
4/12/2022,4.5,16,4.3,NW,88,Yes,No
4/13/2022,7.9,12.3,1.7,NW,68,No,No
4/14/2022,4.3,14.1,8.8,NW,71,No,No
4/15/2022,-2.7,18.1,9.3,W,85,No,No
4/16/2022,0.3,17,5.6,WNW,99,No,No
4/17/2022,3.8,17.4,7.3,E,81,No,No
4/18/2022,2.4,14.7,9.2,ESE,74,No,No
4/19/2022,1.2,14.8,6.7,SE,81,No,No
4/20/2022,1.2,14.5,8.9,SE,74,No,No
4/21/2022,-0.3,17.5,8.4,W,81,No,Yes
4/22/2022,4.7,18.5,5.1,ESE,99,Yes,Yes
4/23/2022,4.9,18.1,8.5,NNW,93,Yes,No
4/24/2022,1.4,16.8,8.2,NW,91,No,No
4/25/2022,2.2,17.5,8.5,NW,92,No,No
4/26/2022,-0.1,18,8.6,NA,83,No,No
4/27/2022,-0.9,18.5,8.9,E,84,No,No
4/28/2022,0.6,14,2.7,NE,99,No,No
4/29/2022,4.6,15.7,0.6,NNE,85,No,No
4/30/2022,9.8,14.4,0,ESE,99,No,Yes
5/1/2022,10.6,15.1,2.6,SSE,78,Yes,No
5/2/2022,7.8,15.1,2.7,S,84,No,No
5/3/2022,4.4,16.7,9,S,74,No,No
5/4/2022,-0.2,15.5,9,NE,86,No,No
5/5/2022,4.3,14.5,3,E,76,No,No
5/6/2022,7.4,16.3,NA,NNE,75,No,Yes
5/7/2022,8.6,13.7,0,NW,97,Yes,Yes
5/8/2022,10.2,15,0.5,NW,90,Yes,No
5/9/2022,7.3,16.4,8.5,NW,86,No,No
5/10/2022,8.7,13,7.1,WNW,82,No,No
5/11/2022,1,11.8,7.2,S,73,No,No
5/12/2022,2.1,14.7,8.2,S,72,No,No
5/13/2022,6.4,16.9,5.9,SSW,78,No,No
5/14/2022,5.4,15.5,5.8,NNE,80,No,No
5/15/2022,0.4,15.5,4.7,N,97,No,No
5/16/2022,4,15.9,2,NNW,95,No,Yes
5/17/2022,8.4,11.7,0,W,91,Yes,No
5/18/2022,0.4,13.9,7.7,WNW,99,No,No
5/19/2022,4.2,14,7.6,NW,74,No,No
5/20/2022,0.9,12.9,6.8,NW,92,No,No
5/21/2022,0.8,13,4.1,WNW,95,No,No
5/22/2022,4.3,12.6,9,NW,75,No,No
5/23/2022,6.3,11.8,6.5,WNW,81,No,No
5/24/2022,3.5,14.3,8.9,NNW,71,No,No
5/25/2022,-1.5,14.8,8,NW,90,No,No
5/26/2022,1.2,16,6.1,NNW,84,No,No
5/27/2022,0.5,15.4,6.4,W,53,No,Yes
5/28/2022,5.3,11.7,5.6,NW,73,Yes,No
5/29/2022,6.6,13.1,8.2,WNW,62,No,No
5/30/2022,-1.6,11.5,8.9,N,82,No,No
5/31/2022,-3.1,12,3.9,ESE,80,No,No
6/1/2022,-0.1,14.2,7,W,81,No,No
6/2/2022,-0.6,14,7.1,NW,86,No,No
6/3/2022,3,11.1,0.2,W,99,No,Yes
6/4/2022,2.9,9.5,6.5,NW,93,Yes,No
6/5/2022,-1.3,8.8,2.8,WNW,95,No,No
6/6/2022,1.8,8.7,1.2,NW,83,No,Yes
6/7/2022,2.9,8.4,7.7,NW,76,Yes,No
6/8/2022,-2.6,11.1,6.5,N,87,No,No
6/9/2022,0.5,11,0.9,NNW,92,No,No
6/10/2022,2.7,16.5,8.9,NNW,93,No,No
6/11/2022,-1.7,13.6,5.2,NNW,83,No,No
6/12/2022,-0.9,12.8,1.9,N,99,No,No
6/13/2022,-1.8,11.5,4.7,NNW,99,No,No
6/14/2022,1.3,10.6,5.6,NW,75,No,Yes
6/15/2022,2.4,11.6,8.1,NW,71,Yes,No
6/16/2022,-1.1,11,0,WNW,92,No,Yes
6/17/2022,2.3,11.6,7.5,WNW,78,Yes,No
6/18/2022,-2.2,11.6,9.2,S,68,No,No
6/19/2022,-3.5,11.2,7.7,ESE,76,No,No
6/20/2022,-1,12.2,8.4,ESE,82,No,No
6/21/2022,-2.1,12.9,8.1,S,92,No,No
6/22/2022,-2,11.3,5.9,WNW,88,No,No
6/23/2022,-2.3,9.7,1.9,SSE,92,No,Yes
6/24/2022,-1.6,10.7,9.1,S,74,Yes,No
6/25/2022,0.8,12.2,8.6,NA,69,No,No
6/26/2022,-2.8,12.2,8.7,NNW,84,No,No
6/27/2022,-2.8,14.1,6.8,WNW,81,No,No
6/28/2022,3,9.7,0.7,W,64,No,Yes
6/29/2022,4.4,11.5,9.3,WNW,67,Yes,No
6/30/2022,2.3,12.8,9.6,WNW,70,No,No
7/1/2022,-2,12.3,5.8,W,81,No,No
7/2/2022,-1.9,10.9,4.2,S,78,No,Yes
7/3/2022,4.8,14.1,8.3,S,67,Yes,No
7/4/2022,-0.6,11.1,5,NNW,89,No,Yes
7/5/2022,3.1,12.5,7.2,N,69,Yes,No
7/6/2022,-2.9,9.6,7.3,NW,76,No,No
7/7/2022,-3.5,7.6,4.7,NW,92,No,No
7/8/2022,-0.3,9.3,9.9,N,72,No,No
7/9/2022,0.1,10.4,7.9,WNW,69,No,No
7/10/2022,2.3,12.2,9.8,WNW,58,No,No
7/11/2022,2.1,10.7,9.4,NW,59,No,No
7/12/2022,4.6,14.7,8.4,WNW,54,No,No
7/13/2022,3.7,14.2,10,NNW,52,No,No
7/14/2022,-1.3,11.6,10.4,N,59,No,No
7/15/2022,-3.4,12.5,6.8,SSE,89,No,No
7/16/2022,-5.3,13.1,7.9,NW,94,No,No
7/17/2022,0,14,4.7,WNW,60,No,No
7/18/2022,2.4,14.1,1.8,NW,50,No,No
7/19/2022,-0.6,12.2,7,S,66,No,No
7/20/2022,2.3,11.6,9.5,S,49,No,No
7/21/2022,-3.7,14.4,10.4,NNW,64,No,No
7/22/2022,-0.9,14.2,7.8,WNW,82,No,No
7/23/2022,-1.5,17.3,9,NW,77,No,No
7/24/2022,-3.3,15.1,NA,SSW,57,No,No
7/25/2022,-0.1,14.7,9.9,ENE,60,No,No
7/26/2022,-0.2,16.2,5.9,E,74,No,No
7/27/2022,0.5,16.3,4.1,NNW,81,No,Yes
7/28/2022,6.1,17.2,2.4,NW,89,Yes,Yes
7/29/2022,4.1,14.8,10.8,NW,60,Yes,No
7/30/2022,0.1,16.7,10.2,WNW,69,No,No
7/31/2022,3.2,12.1,3.9,ESE,69,No,No
8/1/2022,5.4,11.3,0.6,ENE,65,No,No
8/2/2022,5.8,12.4,0,SE,79,No,No
8/3/2022,6.3,16.1,2.9,S,63,No,No
8/4/2022,-0.9,16.7,8.6,NW,84,No,No
8/5/2022,0.2,15.5,9.4,SE,79,No,No
8/6/2022,-3.7,14.7,10.9,SSE,53,No,No
8/7/2022,-2.7,15.2,9.7,N,62,No,No
8/8/2022,-2.5,16.6,9.9,NW,68,No,No
8/9/2022,-0.5,21.6,9.9,NW,44,No,No
8/10/2022,9,25.5,10.2,NW,47,No,Yes
8/11/2022,13.1,19.4,6,NNW,71,Yes,Yes
8/12/2022,8.7,19.7,8,NW,63,Yes,Yes
8/13/2022,3.9,13.2,11,WNW,53,Yes,No
8/14/2022,0.7,14.1,9,ENE,69,No,No
8/15/2022,1.1,18,8.6,NNW,82,No,No
8/16/2022,5.1,23.3,10.3,NW,54,No,No
8/17/2022,7.5,23.3,10.9,WNW,46,No,No
8/18/2022,4.7,19.5,11,NNW,42,No,No
8/19/2022,3.2,21.9,5.2,NW,51,No,Yes
8/20/2022,7.8,16.2,7.9,NW,73,Yes,No
8/21/2022,2.4,17.3,11.3,E,67,No,No
8/22/2022,3.2,18.7,11.1,N,70,No,No
8/23/2022,2.5,20.9,10.6,NNW,48,No,No
8/24/2022,6.5,25.7,10.5,NNW,62,No,No
8/25/2022,14.4,24.3,11.1,WNW,36,No,No
8/26/2022,4.9,18.9,9.4,NW,41,No,No
8/27/2022,2.3,16.8,11.4,N,52,No,No
8/28/2022,1.4,20.6,11.1,N,56,No,No
8/29/2022,5.6,27.6,11,NW,44,No,No
8/30/2022,16.8,28.9,10.8,NNW,44,No,Yes
8/31/2022,14.4,20.7,4.9,NNW,94,Yes,Yes
9/1/2022,10.3,21.3,6.7,NNW,79,Yes,No
9/2/2022,11.2,18,8.4,W,65,No,Yes
9/3/2022,0.3,16,11.8,NW,68,Yes,No
9/4/2022,0.5,17.9,11.5,N,72,No,No
9/5/2022,0.5,20,11.5,NNW,69,No,No
9/6/2022,4.6,22,11,N,82,No,No
9/7/2022,8.2,22.4,11.2,NW,70,No,No
9/8/2022,4.5,23.9,11.7,NW,67,No,No
9/9/2022,6.7,26.1,7.5,SSW,56,No,Yes
9/10/2022,11.9,21.1,NA,NW,82,Yes,No
9/11/2022,9.2,19.6,10.4,ENE,71,No,No
9/12/2022,4.4,21,12.2,NW,73,No,No
9/13/2022,5,24.1,12,NNW,73,No,No
9/14/2022,6.7,24.7,8.6,NW,80,No,No
9/15/2022,8.3,28.5,9.8,NW,66,No,No
9/16/2022,11.3,27.4,12.1,NW,60,No,No
9/17/2022,9,20.6,6.2,ENE,54,No,No
9/18/2022,3.4,15,11.7,S,43,No,No
9/19/2022,3.2,18,12.2,SSE,47,No,No
9/20/2022,0.9,20.7,8.4,NNW,71,No,No
9/21/2022,3.3,25.5,10.8,N,57,No,No
9/22/2022,7.9,26.1,3.5,NNW,45,No,No
9/23/2022,9,30.7,12.1,NNW,38,No,No
9/24/2022,7.1,28.4,12.7,N,45,No,No
9/25/2022,12.5,19.9,5.3,ESE,63,No,No
9/26/2022,12.5,26.9,7.1,NW,69,No,No
9/27/2022,12.3,30.2,12.6,NW,43,No,No
